source,customer,suggested
Brass Cu Rads,Pro Metal Recycling,Copper/Brass Radiators
Open Eye,Pro Metal Recycling,ICW #1 (Heliax 57% Baled)
Al Ext,Pro Metal Recycling,Al Extrusion (Bare)
Al Ext Ptd,Pro Metal Recycling,Painted Aluminum Extrusion
Copper bare brite,Pro Metal Recycling,No. 1 Copper Wire (Barley)
Harness,Pro Metal Recycling,ICW #2 (50% & CAT5/Tel)
Lead coated Cu,Pro Metal Recycling,Sheet Copper (Lead-Coated)
#1/#2 Ins mixed,Pro Metal Recycling,ICW #2 (Mixed)
Battery Cable,Pro Metal Recycling,ICW #2 (Battery Cable)
Aluminum extrusion,Pro Metal Recycling,Al Extrusion (Bare)
Plug ends,Pro Metal Recycling,Plug Ends (Breakage Mix)
Brass copper rads,Pro Metal Recycling,Copper/Brass Radiators
Aluminum cast,Pro Metal Recycling,Al Cast (Clean)
Big motor,Pro Metal Recycling,Electric Motors (Large <1000 lb)
#2 insulated wire in paper drum,Pro Metal Recycling,ICW #2 (50% & CAT5/Tel)
Al turnings in barrel,Pro Metal Recycling,Aluminum Turnings
Brass rads from #2 copper box,Pro Metal Recycling,Copper/Brass Radiators
Insulated copper wire #1,Pro Metal Recycling,ICW #1 (THHN 80%)
Ins copper wire #2 - telephone wire,Pro Metal Recycling,ICW #2 (50% & CAT5/Tel)
motors with pumps,Pro Metal Recycling,Electric Motors (Mixed / Pump Attached)
Al/brass shells mixed,Pro Metal Recycling,Brass Shells (Mixed Alloy)
Shell primers,Pro Metal Recycling,Brass Shells (Clean)
wheel wts,Pro Metal Recycling,Lead Wheel Weights
Dirty wheels,Pro Metal Recycling,Al Car Wheels (Dirty)
Dirty brass rads,Pro Metal Recycling,Copper/Brass Radiators (Dirty)
Computer tower,Pro Metal Recycling,Computer Tower (Complete)
Servers,Pro Metal Recycling,Servers (Complete)
spent shells,Pro Metal Recycling,Brass Shells (Military Spent)
H wire,Pro Metal Recycling,ICW #1 (Heliax 57% Baled)
tin plated copper,Pro Metal Recycling,Tinned Copper Wire
Cu paper wrapped,Pro Metal Recycling,Copper Wire Scrap (Insulated)
Misc e-scrap,Pro Metal Recycling,E-Scrap (Mixed)
Stator,Pro Metal Recycling,Motor Stators (Copper)
#2 KR,Pro Metal Recycling,ICW #2 (Regional KR Wire)
Faucets,Pro Metal Recycling,Yellow Brass (Plumbing)
Xmas lts,Pro Metal Recycling,ICW Low Grade (Christmas Lights)
3003 from Fenders,MDK ZeroLandfill,Aluminum 3003 Sheet
3003 with poly from Fenders,MDK ZeroLandfill,Aluminum 3003 Sheet (Poly-Coated)
3003P from Fenders,MDK ZeroLandfill,Aluminum 3003 Sheet
4017 Bare,MDK ZeroLandfill,Aluminum 4017 Sheet (Bare)
5052 from Fenders,MDK ZeroLandfill,Aluminum 5052 Sheet
4017 from Fenders,MDK ZeroLandfill,Aluminum 4017 Sheet
304 Stainless Steel,Newco Metals, Stainless 304
316 Stainless Steel Turnings,Newco Metals,Stainless 316 Turnings
Painted Extrusion W/Iron ( Cast End Too),Newco Metals,Painted Aluminum Extrusion (With Fe)
Al BKG,Newco Metals,Al Breakage
Clean Ext,Newco Metals,Al Extrusion (Bare)
Clean Extrusion,Newco Metals,Al Extrusion (Bare)
3003 Alum,Newco Metals,Aluminum 3003 Sheet
Stainless Steel Dumpster,Newco Metals,Stainless (Mixed)
Stainless Steel,Newco Metals,Stainless
Stainless Steel Bkg,Newco Metals,Stainless Breakage
Mixed Stainless,Newco Metals,Mixed Stainless
Al Wheels,Newco Metals,Al Car Wheels
Drums and Rotors,Newco Metals,Drums & Rotors
Thermal extrusion,Newco Metals,Thermal Break Aluminum Extrusion
Wheels = clean,Newco Metals,Al Car Wheels
Wheels - dirty,Newco Metals,Al Car Wheels (Dirty)
Bare EC wire,Newco Metals,EC Aluminum Wire
304 SST w/ Fe,Newco Metals,304 Stainless w/ Fe Attachments
SS Boring,Newco Metals,Stainless Turnings/Borings
Fe turnings,Newco Metals,Steel Turnings
irony ext,Newco Metals,Painted Aluminum Extrusion (With Fe)
301 SS,Newco Metals,301 Stainless
3003,Newco Metals,3003 Aluminum
Al wheels,Newco Metals,Al Car Wheels
Ti turnings,Newco Metals,Titanium Turnings
Ti solids,Newco Metals,Titanium Scrap (Solids)
Al Turnings/ SS T,Newco Metals,Aluminum Turnings / Stainless Turnings Mix
SPC,Newco Metals,Small Piece Copper (SPC)
NON FE:Alum/Cu Radiators,Pro Metal Recycling,ALUMINUM/CU RADIATORS (CLEAN)
NON FE:Thermal extrusions,Pro Metal Recycling,THERMAL BREAK ALUMINUM EXTRUSION
ACR,Pro Metal Recycling,ACSR (Aluminum Conductor Steel Reinforced)
ACR,Pro Metal Recycling,ACSR (Aluminum Conductor Steel Reinforced)
NON FE:Alum/Cu Radiators,Pro Metal Recycling,ALUMINUM
NON FE:Thermal extrusions,Pro Metal Recycling,THERMAL BREAK ALUMINUM EXTRUSION
ACR,Pro Metal Recycling,ACSR (Aluminum Conductor Steel Reinforced)
ACR,Pro Metal Recycling,ACSR (Aluminum Conductor Steel Reinforced)  
NON FE:Alum/Cu Radiators,Pro Metal Recycling,ALUMINUM/CU RADIATORS (CLEAN)
NON FE:Thermal extrusions,Pro Metal Recycling,THERMAL BREAK ALUMINUM EXTRUSION
NON FE:Alum/Cu Radiators,Pro Metal Recycling,ALUMINUM/CU RADIATORS (CLEAN)
NON FE:Thermal extrusions,Pro Metal Recycling,THERMAL BREAK ALUMINUM EXTRUSION





two boxes,Pro Metal Recycling,IGNORE
4 skids,Pro Metal Recycling,IGNORE
NON FE:Window A/C units,Pro Metal Recycling,Window A/C Units
2 bales,Pro Metal Recycling,IGNORE
2 boxes,Pro Metal Recycling,IGNORE
Hauled per Mike,Lincoln Waste Solutions,IGNORE
Filter Cake Haul Fee,Lincoln Waste Solutions,IGNORE
Filter Cake Disposal Fee,Lincoln Waste Solutions,IGNORE
Disposal Fees Special Waste,Lincoln Waste Solutions,IGNORE
Trash Deduction,Farnsworth Metal Recycling,IGNORE
Trash Haul,Farnsworth Metal Recycling,IGNORE
adjustment for under payment 97729-97750,Rochester Iron & Metal,IGNORE
4 barrels on 1 skid,Pro Metal Recycling,IGNORE
one drum,Pro Metal Recycling,IGNORE
Hauled per Mike,Lincoln Waste Solutions,IGNORE
Disposal Fees Special Waste,Lincoln Waste Solutions,IGNORE
Filter Cake Haul,Lincoln Waste Solutions,IGNORE
Filter Cake Disposal Fee,Lincoln Waste Solutions,IGNORE
Trash Haul,Farnsworth Metal Recycling,IGNORE
Trash Deduction,Farnsworth Metal Recycling,IGNORE
Ferrous brokerage for Neil Taylor,Farnsworth Metal Recycling,IGNORE
Taylor Dirt Works project,Farnsworth Metal Recycling,IGNORE
Greenwood Project - Fox,Farnsworth Metal Recycling,IGNORE
Hauled per Adam,Lincoln Waste Solutions,IGNORE
10 Alcoa tubs,"Newco Metals, Inc", IGNORE
17 Alcoa Tubs per PO #29507,"Newco Metals, Inc", IGNORE
Freight charge,Stainless Steel Midwest,IGNORE
October waste hauls,Lincoln Waste Solutions,IGNORE
Filter Cake Dumpster Haul Fee,Lincoln Waste Solutions,IGNORE
Filter Cake Disposal Fees,Lincoln Waste Solutions,IGNORE
Disposal Fees,Lincoln Waste Solutions,IGNORE
Open Top - General Waste,Lincoln Waste Solutions,IGNORE
Trash Compactor Haul,Lincoln Waste Solutions,IGNORE
Hauled per Adam Ingle,Lincoln Waste Solutions,IGNORE
Hauled per Andy,Lincoln Waste Solutions,IGNORE
Hauled per Todd,Lincoln Waste Solutions,IGNORE
PO*,Lincoln Waste Solutions,IGNORE
Per*,Lincoln Waste Solutions,IGNORE
Monthly Waste Hauls,Werner & Son,IGNORE
Monthly Trash Hauls,Werner & Son,IGNORE
Wood Haul,Werner & Son,IGNORE
Monthly Dumpster Hauls,Werner & Son,IGNORE
2 Load of Baled Fiber Core (Frito Lay),Werner & Son,IGNORE
Over 5 Ton (10/16),Werner & Son,IGNORE
Baled cores from Frito,Werner & Son,IGNORE
KAF Cardboard Rebate,Werner & Son,IGNORE
Cardboard from KAF,Werner & Son,IGNORE
paper cores from Frito,Werner & Son,IGNORE
Disposal Fees over 5T*,Werner & Son,IGNORE
Per Attached,Werner & Son,IGNORE
KA&F Compactor Haul*,Werner & Son,IGNORE
Pallets,,IGNORE
B grade pallets,,IGNORE
Load of Skids,,IGNORE
Load of wood pallets,,IGNORE
Shortage on Pallet Load,,IGNORE
Delivered Price,,IGNORE
Delivered to Crawfordsville,,IGNORE
Pricing Correction,,IGNORE
Price correction for April,,IGNORE
Misc Services:Billing Error,,IGNORE
adjustment to balance,,IGNORE
Adjustment to Inv # 2142,,IGNORE
Difference from short paid invoice #2837,,IGNORE
179903,,IGNORE
P100015527,,IGNORE
P100015529,,IGNORE
P100015530,,IGNORE
Services,,IGNORE
40 yd roll off,,IGNORE
Hauling Fee,,IGNORE
Haul Fee,,IGNORE
Trash Disposal,,IGNORE
Trucking Costs,,IGNORE
General Waste,,IGNORE
Waste Revenue:*, ,IGNORE
Monthly Hauls*, ,IGNORE
Per PO*, ,IGNORE
PO#*, ,IGNORE
AGT*, ,IGNORE
Per Adam*, ,IGNORE
Per Todd*, ,IGNORE
Per Andy*, ,IGNORE
